"country","year","sum_emissions"
"ECU",2017,6101105.293619999
"ECU",2018,6348795.96638
"ECU",2019,6656769.88562
"ECU",2020,6776564.347279999
"ECU",2021,7530671.265019999
"EGY",2015,4253810.5368679995
"EGY",2016,5369967.139214001
"EGY",2017,6672346.7926819995
"EGY",2018,14345698.629343998
"EGY",2019,20164351.383584004
"EGY",2020,19198365.55974
"EGY",2021,24460815.789088
"ESP",2015,22093.03162
"ESP",2016,20567.13476
"ESP",2017,9001.082018
"ESP",2018,32864.47114
"ESP",2019,51971.62678
"ESP",2020,17420.985012
"ESP",2021,13916.047196
"EST",2015,217215.2238
"EST",2016,195326.1967
"EST",2017,229217.6224
"EST",2018,259712.9374
"EST",2019,270218.7884
"EST",2020,291514.8426
"EST",2021,247128.0372
"FRA",2015,132114.5104
"FRA",2016,121801.67371999999
"FRA",2017,105478.49515999999
"FRA",2018,99493.88425999999
"FRA",2019,112380.66408
"FRA",2020,78867.2824
"FRA",2021,83904.89834
"GAB",2015,3797581.4608
"GAB",2016,3327786.2945999997
"GAB",2017,3236570.2524199993
"GAB",2018,3120945.72488
"GAB",2019,4097249.6898
"GAB",2020,3974877.5708
"GAB",2021,3961813.5319999997
"GBR",2015,11581208.47862
"GBR",2016,10793997.93092
"GBR",2017,11651630.628
"GBR",2018,11418981.711
"GBR",2019,11407018.6022
"GBR",2020,13433635.445640005
"GBR",2021,10941129.244439999
"GEO",2015,6565.376296
"GEO",2016,3410.08368
"GEO",2017,2514.280032
"GEO",2018,3938.923126
"GEO",2019,2979.899274
"GEO",2020,1883.1350104
"GEO",2021,1615.3294032
"GHA",2015,2326323.066
"GHA",2016,1803264.176
"GHA",2017,2726238.3398
"GHA",2018,2253798.7122
"GHA",2019,2594920.9924
"GHA",2020,3724895.796
"GHA",2021,3513299.61
"GNQ",2015,7390937.521600001
"GNQ",2016,7652541.935799999
"GNQ",2017,8035348.568000001
"GNQ",2018,7247198.391399999
"GNQ",2019,6266219.909399999
"GNQ",2020,5578272.943399999
"GNQ",2021,4610975.186
"GRC",2015,24383.8589
"GRC",2016,59548.50574
"GRC",2017,37335.45198
"GRC",2018,68151.0758
"GRC",2019,43118.36862
"GRC",2020,22923.12192
"GRC",2021,16483.85628
"GTM",2015,244890.1314
"GTM",2016,301163.0638
"GTM",2017,308473.1824
"GTM",2018,274175.9758
"GTM",2019,129888.9153
"GTM",2020,239036.8294
"GTM",2021,216361.1042
"GUY",2019,7157.89785
"GUY",2020,1445842.068
"GUY",2021,2364166.698
"HRV",2015,176898.82914
"HRV",2016,162995.6571
"HRV",2017,164294.88760000002
"HRV",2018,147466.6194
"HRV",2019,116229.86328
"HRV",2020,119252.53086
"HRV",2021,105062.959934
"IDN",2015,70085468.415
"IDN",2016,71117324.6264
"IDN",2017,65953464.1988
"IDN",2018,67731706.2582
"IDN",2019,63824296.7558
"IDN",2020,73908746.6864
"IDN",2021,70581931.1742
"IND",2015,13077195.231000002
"IND",2016,13157142.259399999
"IND",2017,12235638.6894
"IND",2018,11080164.773400001
"IND",2019,10847597.5264
"IND",2020,10637722.71224
"IND",2021,11650646.88646
"IRL",2016,611940.2982
"IRL",2017,695902.8618
"IRL",2018,598494.2026
"IRL",2019,493545.6266
"IRL",2020,398808.0812
"IRL",2021,311381.1968
"IRN",2015,137811812.60239998
"IRN",2016,176664221.096
"IRN",2017,208166792.16199997
"IRN",2018,218081920.92
"IRN",2019,183732645.75439999
"IRN",2020,183484249.08199996
"IRN",2021,195111860.1618
"IRQ",2015,113460077.69080001
"IRQ",2016,117909472.601
"IRQ",2017,107405730.2526
"IRQ",2018,120332053.3666
"IRQ",2019,125920519.19420001
"IRQ",2020,112346418.631
"IRQ",2021,114426979.14920002
"ISR",2015,1932024.2152
"ISR",2016,2212447.742
"ISR",2017,2331360.488
"ISR",2018,2386578.794
"ISR",2019,2420076.2356160004
"ISR",2020,3596965.8638
"ISR",2021,4551563.098
"ITA",2015,1019348.729
"ITA",2016,646262.0542
"ITA",2017,832880.983
"ITA",2018,1029173.9676
"ITA",2019,946445.7358139999
"ITA",2020,1247412.5976
"ITA",2021,1109724.2754000002
"JOR",2015,86912.31658
"JOR",2016,83221.90348
"JOR",2017,73557.1733
"JOR",2018,67575.3655
"JOR",2019,58746.40868
"JOR",2020,54649.42946
"JOR",2021,49082.6787
"JPN",2015,214731.2228
"JPN",2016,211165.111
"JPN",2017,258597.4508
"JPN",2018,250065.6994
"JPN",2019,230367.4812
"JPN",2020,210047.6926
"JPN",2021,206052.649
"KAZ",2015,41935958.29060001
"KAZ",2016,62755431.1502
"KAZ",2017,44115314.55859999
"KAZ",2018,50964539.9168
"KAZ",2019,49892372.2854
"KAZ",2020,45297858.8104
"KAZ",2021,41894961.45459999
"KGZ",2015,9303.743574
"KGZ",2016,18950.336258
"KGZ",2017,24760.7026
"KGZ",2018,24319.55704
"KGZ",2019,22571.39846
"KGZ",2020,18526.53005
"KGZ",2021,13322.949028
"KOR",2015,70207.70828
"KOR",2016,53153.29392
"KOR",2017,116511.2126
"KOR",2018,103032.42452
"KOR",2019,87927.45302
"KOR",2020,87281.98768
"KOR",2021,30075.51794
"KWT",2015,27124535.0882
"KWT",2016,27890340.066
"KWT",2017,26049303.029999997
"KWT",2018,26373550.2728
"KWT",2019,26593314.810000002
"KWT",2020,23471759.9798
"KWT",2021,22953650.812
"LBY",2015,15188460.817
"LBY",2016,13238615.322742
"LBY",2017,17843747.633800004
"LBY",2018,18498223.4166
"LBY",2019,18037020.533199996
"LBY",2020,8337017.257200001
"LBY",2021,20716658.6948
"MAR",2015,13745.131476
"MAR",2016,8466.994718
"MAR",2017,7480.905974
"MAR",2018,8344.692864
"MAR",2019,11445.46152
"MAR",2020,10376.078336
"MAR",2021,12412.83371
"MDG",2015,137780.1187
"MDG",2016,102536.9496
"MDG",2017,72860.10474
"MDG",2018,53524.75752
"MDG",2019,40391.48236
"MDG",2020,31312.90738
"MDG",2021,24544.9009
"MEX",2015,34405609.93994
"MEX",2016,32772142.693500005
"MEX",2017,31597732.538099993
"MEX",2018,31828821.75748
"MEX",2019,31552445.830131996
"MEX",2020,36707264.6276
"MEX",2021,38115436.141200006
"MMR",2015,2291794.25264
"MMR",2016,2320280.48728
"MMR",2017,2214662.1320599997
"MMR",2018,2149870.76224
"MMR",2019,2093219.8114999998
"MMR",2020,2112095.70578
"MMR",2021,2126906.38582
"MOZ",2015,1405718.3424
"MOZ",2016,1415205.7246
"MOZ",2017,1416057.4348
"MOZ",2018,1404165.5922
"MOZ",2019,1373881.7798
"MOZ",2020,1339941.2482
"MOZ",2021,1334543.342
"MYS",2015,24590008.1832
"MYS",2016,39400481.39106
"MYS",2017,54140713.419800006
"MYS",2018,42331362.453999996
"MYS",2019,44693106.843399994
"MYS",2020,38654843.403799996
"MYS",2021,39682398.186
"NGA",2015,42538840.145320006
"NGA",2016,40593188.43452
"NGA",2017,40860454.95440001
"NGA",2018,39867484.1548
"NGA",2019,41220102.5266
"NGA",2020,39069360.014800005
"NGA",2021,36909569.25439999
"NLD",2015,8575925.6708
"NLD",2016,8108844.4595
"NLD",2017,7503480.6672
"NLD",2018,6267110.818000001
"NLD",2019,5150653.536599999
"NLD",2020,2988548.4694999997
"NLD",2021,2575718.3802
"NOR",2015,34315001.7389
"NOR",2016,34971819.0538
"NOR",2017,38539710.23836
"NOR",2018,38618261.02509999
"NOR",2019,34637200.317320004
"NOR",2020,33688573.952980004
"NOR",2021,35523616.49508
"NZL",2015,1286262.2036000001
"NZL",2016,1230788.9917199998
"NZL",2017,1178483.0965800001
"NZL",2018,871773.9823400001
"NZL",2019,879616.39392
"NZL",2020,779399.47514
"NZL",2021,641837.0684
"OMN",2015,21172060.9318
"OMN",2016,21744118.0728
"OMN",2017,20789110.46428
"OMN",2018,20527790.5184
